product_key,product_id,product_name,category,sub_category,supplier_name,defect_flag
1,1000,Molestias,Outdoor,Bed,Chauhan Gill,Yes
2,1001,Cupiditate,Outdoor,Bed,"Dhillon, Gopal And Soni",Unknown
3,1002,Cupiditate,Office,Unknown,"Dutt, Bakshi And Sridhar",Unknown
4,1003,Laboriosam,Kitchen,Desk,Natt Bahri,Yes
5,1004,Quod,Outdoor,Chair,Agrawal And Sons,Yes
6,1005,Akiquid,Kitchen,Table,Narayan Plc,Unknown
7,1006,Dolor,Home,Sofa,Prasad Nori,Unknown
8,1007,Aliquam,Kitchen,Sofa,Gala Group,Unknown
9,1008,Dolor,Kitchen,Lamp,"Verma, Sahota And Mittal",Unknown
10,1009,Earum,Office,Chair,Mukherjee Narang,No
11,1010,In,Kitchen,Sofa,Thaman Ltd,Unknown
12,1011,Dxbitis,Kitchen,Lamp,"Rao, Sawhney And Devan",Yes
13,1012,Asperiores,Kitchen,Sofa,"Dani, Mohanty And Lalla",Unknown
14,1013,Totam,Office,Desk,Joshi Llc,No
15,1014,Pxriatur,Kitchen,Table,Sridhar Group,Yes
16,1015,Excepturi,Outdoor,Lamp,Warrior Chad,Yes
17,1016,Ipsum,Kitchen,Chair,Rajan Plc,Unknown
18,1017,Esse,Outdoor,Unknown,"Lata, Kar And Zacharia",Yes
19,1018,Eaque,Home,Bed,"Tara, Khurana And Garg",Yes
20,1019,Nisi,Outdoor,Sofa,"Pai, Sachdeva And Rege",Yes
21,1020,Dslore,Office,Lamp,Soni Roy,No
22,1021,Quod,Unknown,Lamp,Vasa Dora,No
23,1022,Amet,Kitchen,Table,Koshy Kata,Unknown
24,1023,Molestiae,Office,Sofa,Batta Dey,No
25,1024,Accusantium,Unknown,Bed,More Bassi,No
26,1025,Quia,Outdoor,Lamp,Khurana Inc,Unknown
27,1026,Facere,Outdoor,Chair,Doshi Inc,Yes
28,1027,Reprehenderit,Outdoor,Sofa,Dugar Ltd,Yes
29,1028,Id,Home,Lamp,Sachar Bahl,Yes
30,1029,Nisi,Outdoor,Chair,"Sandal, Pathak And Rege",Unknown
31,1030,Iure,Office,Table,"Sethi, Mishra And Mallick",Yes
32,1031,Occaecati,Kitchen,Unknown,Rai Inc,No
33,1032,Rvpellendus,Home,Lamp,Majumdar Om,No
34,1033,Soluta,Kitchen,Lamp,Basak Inc,No
35,1034,Rerum,Kitchen,Chair,Kashyap Hora,Yes
36,1035,Officiis,Home,Unknown,Chaudry Batta,Yes
37,1036,Tempora,Office,Table,Sahni And Sons,Yes
38,1037,Consequatur,Office,Lamp,Kari Chander,Unknown
39,1038,Ntcessitatibus,Outdoor,Desk,"Bumb, Patla And Agarwal",No
40,1039,Nobis,Office,Unknown,Mangat Bhatt,No
41,1040,Hic,Home,Lamp,Sem Master,Yes
42,1041,Laboriosam,Kitchen,Desk,"Manda, Mander And Bedi",No
43,1042,Architecto,Kitchen,Unknown,"Prabhakar, Bakshi And Ramakrishnan",Unknown
44,1043,Sit,Office,Bed,Kurian Narain,No
45,1044,Quam,Kitchen,Bed,Minhas Ltd,Unknown
46,1045,Est,Home,Chair,Kar Plc,Unknown
47,1046,Earum,Outdoor,Table,Morar Ltd,Unknown
48,1047,Recusandae,Kitchen,Lamp,Chand Kapoor,Unknown
49,1048,Qui,Home,Lamp,Hora Group,No
50,1049,Ratione,Home,Sofa,Sachdev Ltd,Unknown
51,1050,Quia,Kitchen,Lamp,Gara Ltd,No
52,1051,Mollitia,Outdoor,Bed,"Bhatti, Sangha And Chopra",Yes
53,1052,Magnam,Kitchen,Desk,Modi Plc,Yes
54,1053,Necessitatibus,Office,Unknown,"Grover, Sachdev And Chaudhuri",Yes
55,1054,Expedita,Home,Chair,Misra Group,Yes
56,1055,Deserunt,Outdoor,Table,Suri Inc,Yes
57,1056,Exercitationem,Kitchen,Table,Sarna Plc,No
58,1057,Ao,Kitchen,Lamp,"Mohan, Vig And Dutt",Yes
59,1058,Aweriam,Office,Unknown,Talwar Group,Unknown
60,1059,Accusantium,Kitchen,Unknown,"Sankaran, Pall And Raja",Unknown
61,1060,Porro,Home,Unknown,Chokshi Bath,No
62,1061,Voluptatum,Outdoor,Chair,Ramaswamy Group,Unknown
63,1062,Enim,Office,Lamp,"Shetty, Mukherjee And Viswanathan",Unknown
64,1063,Rypellat,Outdoor,Unknown,Kant And Sons,Yes
65,1064,Tempore,Outdoor,Chair,Pal Hegde,No
66,1065,Ut,Kitchen,Lamp,"Rajagopal, Shere And Radhakrishnan",Unknown
67,1066,Consequatur,Office,Desk,Kari Ltd,Yes
68,1067,Dhleniti,Kitchen,Sofa,Wali Vohra,No
69,1068,Totam,Home,Unknown,Bedi And Sons,Unknown
70,1069,Quo,Home,Desk,Pillai Merchant,Yes
71,1070,Doloribus,Office,Table,Bal Subramaniam,Unknown
72,1071,Rbpellendus,Outdoor,Bed,Choudhury Llc,Unknown
73,1072,Fuga,Home,Table,Munshi Group,Unknown
74,1073,Quis,Kitchen,Desk,"Bedi, Wable And Brahmbhatt",Yes
75,1074,Nisi,Kitchen,Lamp,"Nair, Pingle And Kurian",No
76,1075,Dolor,Kitchen,Sofa,"Desai, Sastry And Pall",Unknown
77,1076,Tempore,Office,Chair,Wable And Sons,No
78,1077,Soluta,Kitchen,Bed,Hans Din,Unknown
79,1078,Tenetur,Office,Table,Bhavsar Inc,No
80,1079,Error,Home,Lamp,Agarwal Dave,Unknown
81,1080,Sit,Office,Unknown,Prashad Inc,No
82,1081,Alias,Home,Desk,Deshpande Kanda,Yes
83,1082,Sed,Unknown,Bed,"Tak, Hayer And Sarna",Yes
84,1083,Atque,Office,Lamp,Nair Gopal,Yes
85,1084,Qyam,Office,Sofa,"Buch, Badal And Purohit",Yes
86,1085,Unde,Unknown,Bed,Chacko Sami,Yes
87,1086,Icsa,Home,Lamp,Sarkar Ganesan,No
88,1087,Csnsequuntur,Office,Table,Brar Llc,Yes
89,1088,Veniam,Unknown,Lamp,Shukla Dara,No
90,1089,Sapiente,Kitchen,Chair,Wable Zacharia,Yes
91,1090,Ut,Outdoor,Table,"Viswanathan, Bawa And Rout",No
92,1091,Laborum,Home,Table,"Naidu, Sama And Gade",Yes
93,1092,Quisquam,Office,Bed,Khatri Barad,Unknown
94,1093,Voluptatibus,Home,Chair,"Kant, Sidhu And Vohra",No
95,1094,Veniam,Office,Sofa,Borah Plc,Unknown
96,1095,Repudiandae,Outdoor,Desk,Magar Arya,Unknown
97,1096,Efpedita,Outdoor,Desk,Barad Llc,Unknown
98,1097,Maiores,Unknown,Sofa,"Samra, Gour And Narasimhan",No
