product_id,product_name,category,sub_category,supplier_name,defect_flag
6842,asPERIorES ,OUtdoOR,ChaiR ,Mahajan-Hari,1
2234,beatAe,oUTdOOr  ,cHaIr ,"Ravel, Pandya and Bali",
1034,reRUM ,kITcHen ,Chair  ,Kashyap-Hora,1
9411,DoLorem   ,OuTdooR,LAmp  ,Deo Inc,
9962,TeMPora ,oUtdOoR   ,DESk   ,Chacko Ltd,
5936,cum,oUtdoOr ,BEd ,Barad Ltd,1
9722,coNsEQuATur,oFfice,lamP,"Rajagopal, Deshpande and Sawhney",0
3125,eST  ,OFFIce   ,Lamp   ,"Sethi, Grewal and Sampath",
8738,MaXIMe   ,KItcHEN ,Lamp ,Vyas Group,
6895,coNSeQuAtUR   ,hxmE ,swFa   ,Purohit Group,1
5560,SOlUta  ,homE  ,desk   ,Gour-Yogi,0
8829,uNdE,KItcHeN  ,Sofa  ,Mani Inc,
3594,DoLorEMquE,KITCHEn,desK,Kuruvilla Group,
7446,euM ,oFFIcE   ,TABlE,Badami Group,N
9910,VitAe ,Home,lAMp,"Pathak, Nadkarni and Mutti",1
6245,ejIgeNdi,kitchEN,LAmP,"Bhardwaj, Modi and Bhardwaj",0
5263,nnCEssITatibUs ,OdficE ,Lamp,Shah LLC,N
8056,sint,kItChEN ,LAmP  ,"Lalla, Pingle and Babu",1
2328,voLUpTAtes  ,kItcHEN  ,lAmP   ,Kumer-Sant,1
2713,quas,kiTCHeN   ,LAmP   ,Dugal-Setty,
9129,ISTe   ,home ,tABLe   ,"Panchal, Dhaliwal and Sabharwal",0
9809,rEm  ,OutDOOr ,sOfa   ,Naik PLC,N
8258,aT ,Home   ,lAmp ,Mahajan-Mahal,N
5401,cupIditaTe ,OUtDOor ,sOFa ,Raj-Cheema,
2807,non ,offICe ,dESK,Pal-Basu,
2376,UllAM,OffICe  ,Chair,Deo and Sons,
2801,AUt,OutdooR ,DESk ,"Amble, Gara and Khalsa",0
3600,rePelLaT ,kitcHeN   ,tAbLe,Samra Inc,N
3823,ET   ,ouTDOOr ,laMP  ,Chada LLC,N
1393,LabOruM,OFficE,bEd,"Chatterjee, Memon and Madan",Y
